SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
83732,9,2,1,62,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,62,1,5,1,3,134671.37,135629.51,1,125,10,10,4.39
83733,9,2,1,53,,3,3,1,,2,,2,2,7,,3,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,53,2,3,3,,24328.56,25282.43,1,125,4,4,1.32
83734,9,2,1,78,,3,3,2,,1,2,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,2,79,1,3,1,3,12400.01,12575.84,1,131,5,5,1.51
83735,9,2,2,56,,3,3,2,,2,,1,1,,,5,6,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,56,1,5,6,,102718.00,102078.63,1,131,10,10,5.00
83736,9,2,2,42,,4,4,2,,2,,1,1,,,4,3,1,1,2,2,1,2,2,1,2,2,1,5,5,0,2,0,2,42,1,4,3,,17627.67,18234.74,2,126,7,7,1.23
83737,9,2,2,72,,1,1,1,,2,,2,2,2,,2,4,,2,2,1,1,2,2,1,2,2,,5,5,1,1,1,1,34,2,5,1,5,11252.31,10878.68,1,128,14,14,2.82
83738,9,2,2,11,,1,1,1,141,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,2,1,2,68,2,1,2,,9964.73,9860.62,1,120,6,6,1.18
83739,9,2,1,4,,3,3,2,54,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,1,0,2,35,1,5,1,5,44749.89,46173.31,2,124,15,15,4.22
83740,9,2,1,1,13,2,2,2,14,,,1,1,,,,,,1,1,2,2,2,2,,,,,7,7,2,2,0,2,48,2,9,5,,9891.94,10963.31,1,119,77,77,
83741,9,2,1,22,,4,4,1,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,2,47,1,4,1,5,37043.09,39353.31,2,128,7,7,2.08
83742,9,2,2,32,,1,1,1,,2,,2,2,6,,4,1,2,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,1,31,1,4,1,4,22744.36,23557.16,1,125,6,6,1.03
83743,9,2,1,18,,5,6,1,217,2,,1,1,,11,,,,1,2,2,1,2,2,,,,1,3,3,0,0,0,1,55,2,5,1,4,18526.16,18249.33,2,122,15,15,5.00
83744,9,2,1,56,,4,4,1,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,56,1,3,3,,20395.54,20068.66,2,126,3,3,1.19
83745,9,2,2,15,,3,3,2,185,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,2,0,2,42,1,4,5,,24788.72,25399.39,2,126,4,4,0.86
83746,9,2,2,4,,5,6,1,52,,,2,2,2,,,,,1,1,1,1,2,1,,,,,4,4,1,1,0,1,45,,,1,4,10998.01,11274.00,2,129,12,12,
83747,9,2,1,46,,3,3,1,,2,,2,1,8,,5,6,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,46,2,5,6,,34513.08,35673.96,1,121,3,3,0.75
83748,9,2,1,3,,4,4,2,41,,,1,1,,,,,,1,1,2,1,2,2,,,,,6,6,3,0,0,2,54,1,4,5,,10988.32,11184.30,2,131,6,6,0.94
83749,9,2,2,17,,3,3,1,210,2,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,5,5,0,1,0,1,46,1,4,1,4,60125.44,63059.81,2,131,14,14,3.16
83750,9,2,1,45,,5,7,1,,2,,1,1,,,2,5,,1,2,2,1,2,2,1,2,2,1,5,1,0,2,0,1,38,,,1,5,96194.93,97001.99,1,125,10,4,1.36
83751,9,2,2,16,,1,1,1,196,,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,6,6,1,2,2,2,64,1,2,1,2,14862.01,14802.21,1,128,4,4,0.58
83752,9,2,2,30,,2,2,1,,2,,1,1,,,4,6,2,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,31,1,5,6,,36978.42,38680.53,1,124,15,15,5.00
83753,9,2,1,15,,4,4,1,182,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,1,0,2,50,1,3,1,2,11836.75,14181.70,1,119,8,8,2.49
83754,9,2,2,67,,2,2,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,7,7,0,3,2,1,73,1,5,1,5,10495.87,10191.91,1,128,6,6,0.89
83755,9,2,1,67,,4,4,2,,1,1,1,1,,,5,2,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,1,67,1,5,2,,14080.10,13991.64,1,126,5,5,2.04
83756,9,2,1,16,,3,3,2,194,,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,6,6,0,3,0,1,40,1,4,1,4,45738.16,46918.70,1,122,7,7,1.11
83757,9,2,2,57,,2,2,1,,2,,1,1,,,1,4,,1,2,2,1,2,2,1,2,2,1,5,5,1,0,0,2,57,1,1,4,,11709.11,12413.06,1,120,5,5,0.77
83758,9,1,1,80,,3,3,,,1,1,1,1,,,5,2,,1,2,2,1,2,2,,,,,1,1,0,0,1,1,80,1,5,2,,30375.77,0.00,2,133,9,9,4.71
83759,9,2,2,19,,1,1,1,235,2,,1,1,,15,,,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,2,43,1,4,3,,18928.63,19250.41,2,121,7,7,1.74
83760,9,2,2,3,,4,4,2,38,,,1,1,,,,,,1,1,2,1,2,2,,,,,6,6,2,2,0,2,31,1,3,77,,8862.40,8919.40,2,126,7,7,1.10
83761,9,2,2,24,,5,6,2,,2,,2,2,2,,5,5,2,1,2,2,1,2,2,1,2,2,3,1,1,0,0,0,2,24,2,5,5,,15420.80,18010.01,1,119,1,1,0.00
83762,9,2,2,27,,4,4,2,,2,,1,1,,,4,5,2,1,2,2,1,2,2,,,,,2,1,0,0,0,2,21,1,3,5,,38387.34,43424.33,1,132,8,6,2.12
83763,9,2,2,2,,2,2,1,29,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,1,2,0,2,32,1,4,1,4,17174.31,18158.81,1,127,9,9,1.94
83764,9,2,1,14,,3,3,2,169,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,46,1,5,1,5,69163.00,70889.80,2,120,15,15,5.00
83765,9,2,2,0,2,3,3,2,3,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,28,1,4,1,5,13932.17,14073.38,2,123,9,9,3.17
83766,9,2,2,10,,3,3,2,132,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,4,0,1,39,1,5,3,,48048.79,47166.96,1,126,14,14,3.34
83767,9,2,2,54,,5,6,1,,2,,2,1,7,,4,3,,1,2,2,1,2,2,1,2,2,1,6,6,0,2,0,2,54,2,4,3,,21914.04,23219.52,2,122,14,14,2.99
83768,9,2,2,15,,3,3,2,193,,,1,1,,10,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,2,0,2,46,1,4,1,5,22414.37,23022.33,2,120,6,6,1.09
83769,9,2,1,49,,5,6,2,,2,,2,1,6,,2,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,1,49,2,2,1,5,26837.74,28350.83,1,132,10,10,2.97
83770,9,2,1,15,,4,4,1,183,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,3,0,1,52,1,4,3,,13912.89,15588.71,2,132,4,4,0.66
83771,9,1,2,2,,1,1,,,,,1,1,,,,,,1,1,2,,,,,,,,3,3,1,0,0,1,38,,,1,,10598.71,0.00,1,121,,,
83772,9,2,2,2,,5,7,1,33,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,2,1,0,0,1,22,,,5,,7757.92,8064.03,2,125,5,5,1.25
83773,9,2,2,80,,3,3,2,,2,,1,1,,,3,2,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,2,80,1,3,2,,37582.05,39939.42,1,131,7,7,3.57
83774,9,2,2,13,,3,3,1,168,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,6,6,0,4,0,1,41,1,4,1,4,72000.75,73774.46,1,133,15,15,4.30
83775,9,2,2,69,,2,2,2,,2,,2,1,8,,1,4,,2,2,2,2,2,2,2,2,1,2,1,1,0,0,1,2,69,2,1,4,,7250.10,8799.98,2,119,2,2,0.55
83776,9,2,2,58,,1,1,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,,,,,3,3,0,1,1,1,68,1,5,1,5,21433.18,21493.64,2,128,14,14,3.72
83777,9,2,1,56,,5,6,1,,2,,2,1,3,,2,1,,1,2,1,1,2,2,1,2,1,,5,5,0,0,0,1,56,2,2,1,2,13892.04,14484.99,2,133,7,7,1.35
83778,9,2,1,16,,2,2,1,199,,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,41,1,3,1,3,18894.65,18651.13,1,127,5,5,0.99
83779,9,2,2,1,21,5,6,1,22,,,2,1,2,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,48,2,3,1,4,11562.47,11852.62,1,128,99,99,
83780,9,2,1,4,,1,1,1,51,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,1,1,1,1,34,2,5,1,5,18292.90,18941.87,1,128,14,14,2.82
83781,9,2,2,27,,4,4,2,,2,,1,1,,,5,5,2,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,60,1,5,2,,34068.86,38537.19,2,119,77,77,
83782,9,1,2,0,4,3,3,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,1,2,0,2,39,1,3,6,,8734.84,0.00,1,125,7,7,0.98
83783,9,2,1,17,,3,3,2,215,2,,1,1,,11,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,48,1,4,1,4,78077.78,89837.27,2,129,15,15,4.28
83784,9,2,1,22,,2,2,1,,2,,1,1,,,4,5,,1,2,2,,,,1,2,2,1,4,4,0,0,0,1,45,,,1,,38148.53,42493.49,2,121,,,
83785,9,2,2,60,,2,2,1,,2,,1,1,,,5,3,,1,2,2,1,2,2,1,2,2,1,4,4,0,0,2,1,60,,,1,5,10495.87,10191.91,1,128,15,15,5.00
83786,9,2,1,51,,4,4,2,,2,,1,1,,,4,5,,1,2,2,1,2,2,,,,,2,1,0,0,1,1,64,1,5,5,,25558.45,28391.20,2,129,77,77,
83787,9,2,2,68,,1,1,1,,2,,2,1,7,,1,3,,2,2,1,1,2,1,2,2,2,2,1,1,0,0,1,2,68,2,1,3,,8842.35,10732.61,1,128,4,4,1.49
83788,9,2,2,69,,3,3,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,2,1,70,1,5,1,4,50114.53,49234.97,2,120,7,7,1.79
83789,9,2,1,66,,3,3,2,,2,,1,1,,,5,6,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,1,1,66,1,5,6,,181684.44,181461.24,1,132,10,9,5.00
83790,9,2,1,56,,3,3,1,,2,,1,1,,,1,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,62,1,3,1,1,31179.69,32402.17,2,126,4,4,1.00
83791,9,2,2,80,,3,3,2,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,80,1,2,1,2,59524.53,62213.98,2,123,12,12,
83792,9,2,2,3,,1,1,2,46,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,2,1,0,0,1,35,1,3,5,,11930.32,13485.71,1,120,14,7,2.51
83793,9,2,2,11,,3,3,1,141,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,6,6,1,4,0,2,38,1,4,4,,18662.22,18319.71,2,128,7,7,1.23
83794,9,2,2,10,,4,4,2,128,,,1,1,,5,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,1,44,1,5,1,5,20199.62,22282.47,1,132,15,15,4.23
83795,9,2,1,5,,3,3,2,67,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,32,1,4,1,4,26972.36,28083.55,1,126,9,9,2.30
83796,9,2,2,4,,3,3,2,55,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,35,1,3,1,3,32232.37,34556.85,1,130,6,6,1.32
83797,9,2,2,1,18,2,2,2,18,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,0,0,1,27,1,4,1,5,10315.96,10850.58,2,120,15,15,4.22
83798,9,2,2,0,7,5,7,2,7,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,30,1,5,1,5,18167.52,18351.66,2,130,15,15,5.00
83799,9,2,2,37,,2,2,1,,2,,1,1,,,4,1,2,1,2,2,1,2,2,,,,,3,3,0,1,0,2,37,1,4,1,2,34128.79,35348.44,1,122,14,14,4.18
83800,9,2,1,10,,4,4,1,125,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,4,4,1,1,0,2,31,1,5,1,4,10879.91,11228.83,2,129,9,9,2.57
83801,9,2,2,80,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,80,1,4,1,5,59053.94,61722.13,2,132,77,77,
83802,9,2,2,29,,1,1,2,,2,,1,1,,,3,1,2,1,2,2,,,,,,,,6,6,3,0,0,2,29,1,3,1,,21059.65,26347.77,2,120,,,
83803,9,2,1,27,,4,4,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,,,,,1,1,0,0,0,1,27,1,4,3,,21218.10,21170.17,2,126,6,6,2.36
83804,9,2,1,1,14,1,1,1,14,,,1,1,,,,,,2,1,2,2,2,2,,,,,6,6,1,2,0,2,35,2,2,1,3,9489.85,11178.74,1,120,4,4,0.57
83805,9,2,2,7,,4,4,2,95,,,1,1,,2,,,,1,1,2,1,2,2,,,,,3,3,1,1,0,2,26,1,4,6,,6362.90,6350.40,1,119,7,7,1.89
83806,9,2,2,2,,3,3,1,30,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,1,1,1,0,2,26,1,1,5,,16856.35,17055.82,2,125,4,1,0.00
83807,9,2,2,10,,1,1,1,127,,,1,1,,4,,,,2,1,2,2,2,2,1,2,2,1,7,7,1,4,1,2,53,2,2,6,,8393.30,9745.24,2,133,12,12,
83808,9,2,1,4,,5,6,1,59,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,1,1,1,2,26,2,4,6,,8413.53,8502.74,1,129,10,10,1.91
83809,9,2,2,20,,4,4,2,,2,,1,1,,,3,5,2,1,2,2,1,2,2,1,2,2,1,4,4,1,0,0,1,33,1,5,6,,37564.93,40405.58,1,129,14,14,3.30
83810,9,2,2,6,,4,4,1,76,,,1,1,,0,,,,1,1,2,1,2,2,,,,,6,6,1,3,0,2,32,1,4,6,,7659.78,7644.73,2,133,7,7,1.10
83811,9,2,2,7,,3,3,2,94,,,1,1,,1,,,,1,1,2,1,2,2,,,,,7,7,1,2,2,1,45,1,5,1,5,41211.49,40455.14,2,120,15,15,4.68
83812,9,2,2,68,,1,1,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,2,2,68,1,3,1,5,10255.97,9985.16,1,124,15,15,5.00
83813,9,2,1,24,,3,3,2,,1,2,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,24,1,4,3,,119259.40,127925.62,1,130,6,6,2.89
83814,9,2,2,11,,2,2,1,134,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,2,41,1,4,1,3,11286.13,13126.87,2,125,15,15,4.73
83815,9,2,2,15,,4,4,1,192,,,1,1,,10,,,,1,1,2,1,2,2,1,2,2,1,6,6,0,4,0,2,36,1,2,5,,15067.69,14892.71,1,121,6,6,0.77
83816,9,2,1,27,,3,3,2,,2,,1,1,,,4,6,,1,2,2,1,2,2,1,2,2,1,3,1,0,0,0,1,34,,,5,,68394.02,73364.00,1,126,7,1,0.00
83817,9,2,1,42,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,5,5,2,1,0,2,35,1,5,1,5,155365.01,156668.50,2,124,15,15,4.22
83818,9,2,2,80,,2,2,2,,2,,2,1,8,,1,2,,2,2,2,2,2,2,2,2,2,,1,1,0,0,1,2,80,2,1,2,,7124.42,8609.63,2,119,3,3,0.84
83819,9,2,2,16,,3,3,1,202,,,1,1,,8,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,44,1,2,1,3,33923.93,36859.21,2,132,8,8,2.07
83820,9,2,1,70,,3,3,2,,2,,1,1,,,5,6,,1,2,2,1,2,2,1,2,2,,2,1,0,0,2,1,70,1,5,6,,56259.36,57057.11,2,132,10,8,4.18
83821,9,2,1,80,,3,3,2,,1,1,1,1,,,1,2,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,1,80,1,1,2,,15513.74,16856.90,1,130,3,3,1.03
83822,9,2,2,20,,4,4,2,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,20,1,4,5,,35323.52,35683.41,2,126,6,6,1.62
83823,9,2,2,29,,1,1,2,,2,,2,2,4,,1,5,2,2,2,2,2,2,2,,,,,5,5,2,1,0,2,29,2,1,5,,21819.19,23096.46,1,129,3,3,0.35
83824,9,2,1,23,,5,6,2,,2,,2,2,1,,5,5,,1,2,1,1,2,1,,,,,4,1,0,0,0,1,23,,,5,,18936.93,17901.77,1,119,,1,0.00
83825,9,2,2,16,,4,4,1,193,,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,6,6,1,3,0,1,35,1,2,1,4,18361.46,17985.28,1,121,6,6,0.77
83826,9,2,1,6,,1,1,1,75,,,1,1,,0,,,,2,1,2,2,2,2,,,,,7,7,1,3,0,1,46,2,1,1,1,13195.84,13555.03,1,120,77,77,
83827,9,2,1,61,,4,4,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,61,1,3,1,3,14080.10,15028.73,1,126,10,10,4.39
83828,9,2,2,39,,1,1,2,,2,,2,2,6,,3,1,2,2,2,2,1,2,2,1,2,2,1,7,7,0,3,2,1,76,2,1,1,1,29007.80,30343.02,2,129,4,4,0.49
83829,9,2,1,50,,5,6,1,,2,,2,1,6,,5,1,,1,2,2,1,2,2,1,2,2,1,5,5,0,2,0,2,45,2,5,1,5,16707.33,19543.33,2,122,15,15,5.00
83830,9,2,1,15,,4,4,1,183,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,4,4,1,2,0,2,51,1,5,3,,13143.72,13149.57,2,131,8,8,1.98
83831,9,2,2,15,,5,7,2,185,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,7,7,1,4,0,1,54,1,2,6,,36112.97,37002.60,1,130,6,6,0.60
83832,9,2,2,50,,1,1,1,,2,,2,2,4,,1,4,,2,2,2,2,2,2,2,2,1,2,5,5,0,1,0,2,50,2,1,4,,11709.11,12034.18,1,121,7,7,1.41
83833,9,2,1,14,,3,3,1,180,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,38,1,4,1,4,25568.61,26206.99,2,132,10,10,2.98
83834,9,2,1,69,,4,4,2,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,1,69,1,3,5,,11885.52,12267.52,2,131,3,3,0.97
83835,9,2,2,13,,4,4,2,163,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,1,2,0,2,35,1,4,5,,15852.64,15711.01,2,131,2,2,0.31
83836,9,2,2,18,,1,1,1,220,2,,1,1,,9,,,,1,2,2,2,2,2,1,2,2,1,6,6,0,1,0,2,54,2,4,1,2,10229.93,10403.83,1,133,14,14,2.76
83837,9,2,2,45,,1,1,1,,2,,2,1,7,,2,1,,1,2,2,1,2,2,1,2,2,1,7,7,1,2,0,1,47,2,4,1,2,15415.16,16341.92,1,133,14,14,2.18
83838,9,2,2,8,,1,1,1,102,,,1,1,,1,,,,1,1,2,1,2,2,1,2,2,2,6,6,2,2,0,2,32,1,3,1,1,10810.76,10723.81,1,128,2,2,0.17
83839,9,2,1,13,,3,3,2,159,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,51,1,4,1,5,84345.75,86052.50,2,124,15,15,4.32
83840,9,2,2,0,10,1,1,2,10,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,3,1,0,0,2,26,1,4,1,4,5844.28,6011.29,1,122,8,4,0.75
83841,9,2,1,13,,5,7,1,163,,,2,1,3,7,,,,1,1,2,1,2,2,,,,1,4,4,0,1,0,1,54,2,4,1,5,16056.00,15451.60,2,122,15,15,4.12
83842,9,2,1,1,17,3,3,2,17,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,2,40,1,5,1,4,25032.39,25928.10,2,124,14,14,4.46
83843,9,2,1,80,,3,3,1,,1,1,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,2,80,1,1,1,4,17184.35,18517.46,1,128,8,8,2.82
83844,9,2,1,27,,1,1,1,,2,,2,2,4,,2,6,,2,2,2,2,2,2,2,2,1,2,5,5,0,1,0,2,50,2,1,4,,29671.14,33012.52,1,121,7,7,1.41
83845,9,2,2,44,,4,4,2,,2,,1,1,,,1,5,2,1,2,2,1,2,2,1,2,2,1,7,7,2,2,0,2,30,1,4,6,,21984.31,22031.51,2,124,9,9,1.50
83846,9,1,2,41,,4,4,,,2,,1,1,,,4,3,3,1,2,2,,,,,,,,2,2,0,1,0,2,41,1,4,3,,29320.20,0.00,2,128,,,
83847,9,2,1,18,,3,3,1,217,2,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,1,53,,,1,5,82367.37,86016.32,2,128,15,15,5.00
83848,9,2,1,10,,3,3,1,132,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,1,44,1,5,1,4,35932.44,36403.71,1,125,7,7,1.65
83849,9,2,1,71,,2,2,1,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,3,3,0,0,2,1,71,1,4,1,,11138.90,11258.83,1,127,6,6,1.34
83850,9,1,1,13,,3,3,,,,,1,1,,7,,,,1,1,2,1,2,2,,,,,4,4,0,1,0,2,47,1,4,1,4,57794.94,0.00,1,126,15,15,5.00
83851,9,2,2,37,,3,3,1,,2,,1,1,,,3,1,2,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,42,1,2,1,3,73609.00,73157.09,1,120,8,8,1.86
83852,9,2,2,0,5,3,3,1,6,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,3,0,0,2,34,1,5,1,5,17442.32,18895.88,2,133,15,15,5.00
83853,9,2,2,49,,3,3,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,,,,,3,3,0,0,1,2,49,1,3,1,3,110300.89,110568.78,2,123,15,15,5.00
83854,9,2,2,46,,1,1,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,47,,,1,5,25482.34,26459.14,1,127,9,9,2.39
83855,9,2,2,12,,3,3,1,144,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,44,99,9,6,,71570.67,73333.79,2,125,7,7,1.65
83856,9,2,1,30,,3,3,2,,1,1,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,1,30,1,4,1,4,46748.64,48195.03,1,130,8,8,1.90
83857,9,2,2,31,,3,3,1,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,30,1,5,1,5,131578.08,135210.78,1,130,15,15,5.00
83858,9,2,1,0,5,1,1,2,5,,,1,1,,,,,,2,1,2,2,2,2,,,,,7,7,2,3,0,2,40,2,9,1,9,5770.33,5650.76,1,120,99,99,
83859,9,2,1,2,,3,3,1,26,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,3,0,1,2,24,1,2,1,3,14675.01,16189.90,1,125,3,3,0.34
83860,9,2,1,41,,4,4,1,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,41,1,4,1,4,22734.58,22668.56,2,125,15,15,5.00
83861,9,1,1,80,,3,3,,,2,,1,1,,,5,3,,1,2,2,1,2,2,,,,,1,1,0,0,1,1,80,1,5,3,,43427.97,0.00,2,120,8,8,4.21
83862,9,2,2,19,,2,2,1,,2,,1,1,,15,,,,1,2,2,2,2,2,1,2,2,1,4,4,0,0,1,1,61,2,5,1,2,27194.05,27656.35,2,127,99,99,
83863,9,2,1,35,,1,1,1,,2,,2,2,7,,3,1,,1,2,1,1,2,2,1,2,2,1,5,5,2,1,0,1,35,2,3,1,5,24494.47,25463.37,1,120,14,14,2.64
83864,9,2,1,4,,4,4,2,56,,,1,1,,,,,,1,1,2,1,2,2,,,,,2,2,1,0,0,2,23,1,4,5,,14839.39,15599.70,1,132,1,1,0.19
83865,9,2,2,21,,3,3,2,,2,,1,1,,,2,5,2,1,2,2,1,2,2,1,2,2,1,4,4,1,0,2,2,67,1,2,1,2,62298.24,63044.87,2,126,8,8,2.14
83866,9,2,1,40,,4,4,2,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,1,1,60,1,5,1,5,29757.77,29280.86,1,132,14,14,4.36
83867,9,2,1,13,,5,7,1,158,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,1,51,2,5,1,5,13634.88,14798.44,2,121,7,7,1.65
83868,9,2,2,11,,1,1,1,133,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,4,4,1,1,0,2,36,1,5,1,2,16096.79,16002.50,1,121,15,15,4.54
83869,9,2,2,67,,3,3,1,,2,,1,1,,,5,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,67,1,5,3,,37858.79,37505.35,2,132,4,4,1.35
83870,9,2,1,48,,1,1,2,,2,,2,2,6,,3,1,,1,2,2,1,2,2,1,2,2,1,5,5,0,2,0,1,48,2,3,1,2,39125.72,40991.60,1,132,9,9,2.24
83871,9,2,2,30,,1,1,1,,2,,2,2,4,,1,6,2,2,2,1,2,2,1,2,2,2,2,7,7,2,3,0,1,41,2,1,6,,22381.03,23411.22,1,120,6,6,0.87
83872,9,2,1,63,,1,1,2,,2,,2,1,8,,3,2,,1,2,2,1,2,2,2,2,2,2,4,4,0,1,1,1,63,2,3,2,,8012.50,7739.00,1,122,99,99,
83873,9,2,1,4,,3,3,2,49,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,1,2,2,1,45,1,5,1,5,43814.40,44819.87,2,120,15,15,4.68
83874,9,2,1,54,,1,1,1,,2,,2,2,6,,2,1,,2,2,2,2,2,2,,,,,3,3,0,1,0,2,47,2,2,1,2,15996.01,16247.53,1,133,5,5,1.14
83875,9,2,2,42,,4,4,2,,2,,2,2,3,,5,1,2,1,2,2,1,2,2,1,2,2,1,7,7,0,4,0,1,44,2,5,1,5,20649.80,21360.94,2,130,10,10,1.82
